symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,107072.0,106761.14357824322,0.29117000000000726,2134488546155.0,34774697364.0,0.4908571384370334,152.58609364830681
ETH,Ethereum,3883.37,3843.357953355007,1.0410699999999995,468761538693.0,19607079822.0,0.2454285692185167,9.820099359585184
BNB,BNB,1090.96,1073.935015591332,1.5852900000000059,151958071233.0,2512889077.0,0.08011478908056714,1.3639530350003757
XRP,XRP,2.36,2.3035962162846486,2.4485099999999926,141536065198.0,2529917835.0,0.07462013645359238,0.0042088580373384225
SOL,Solana,187.17,182.7338792536858,2.4276399999999976,102419951759.0,4169955605.0,0.05399747947730091,0.2395393389579284
DOGE,Dogecoin,0.18919,0.18517833361620525,2.166380000000001,28648788167.0,1256283543.0,0.015104111303793761,6.059265557452362e-05
ADA,Cardano,0.632191,0.6261696276268149,0.9616199999999964,23138706866.0,777160740.0,0.012199106010790762,7.345535991093066e-05
LINK,Chainlink,16.81,16.607880434326205,1.2170100000000073,11716974992.0,438871976.0,0.006177381514056138,0.001248569668622349
SUI,Sui,2.5,2.4410520113975647,2.4148599999999965,9063863974.0,604071893.0,0.0047786178426715035,0.0002816899101251939
AVAX,Avalanche,20.18,19.98257614421043,0.9879799999999994,8605578378.0,338660374.0,0.004537002155105257,0.0008957124591864665
LTC,Litecoin,91.63,90.4897477377316,1.2600900000000026,7001298149.0,403009627.0,0.0036911992890278976,0.004208898339797535
DOT,Polkadot,2.93,2.899565292817005,1.0496300000000014,4460781557.0,135530644.0,0.002351797246923266,7.157626056388421e-05
NEAR,NEAR Protocol,2.16,2.1512542908061567,0.4065399999999997,2702103276.0,114808910.0,0.0014245931938601623,1.24590777930296e-05
APT,Aptos,3.19,3.190566644636087,-0.017759999999999998,2290463656.0,259383745.0,0.001207570030392008,-6.842630804213409e-07
ARB,Arbitrum,0.308814,0.3048749546114294,1.2920199999999937,1701544481.0,106367279.0,0.000897082176026688,3.5336474086468e-06
ICP,Internet Computer,3.05,2.9993880265020025,1.6874099999999892,1643593904.0,41757429.0,0.0008665296807509784,4.385677723739657e-05
ATOM,Cosmos Hub,3.18,3.164524525711911,0.4890300000000014,1506705815.0,51877884.0,0.0007943600336312715,1.2293098275946377e-05
FIL,Filecoin,1.49,1.4626148766191096,1.8723400000000057,1045745216.0,62637725.0,0.0005513340405814397,1.5098350725407553e-05
OP,Optimism,0.427687,0.4204934916896182,1.7107299999999936,760983168.0,73146229.0,0.0004012028153786023,2.886055786574547e-06
