symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,84837.0,84764.80581488747,0.08516999999998998,1693609493958.0,43154983680.0,0.502777077248401,36.297581385207984
ETH,Ethereum,2774.41,2740.4755138545925,1.238270000000008,335246858419.0,15391220876.0,0.23332161126795772,7.9176489849966405
XRP,XRP,1.95,1.9237870547283875,1.3625699999999963,117470818424.0,3082518303.0,0.08175611476542925,0.002143068561965863
BNB,BNB,834.77,825.7250082595252,1.0953999999999908,114755739454.0,1644949562.0,0.07986650242726262,0.7223918547951975
SOL,Solana,127.45,126.69135947035558,0.5988099999999941,71300548661.0,3691996084.0,0.049623012058421456,0.0376460281505525
DOGE,Dogecoin,0.140192,0.13873015869874375,1.0537299999999972,21327378468.0,1509026468.0,0.014843206381537527,2.169841213160206e-05
ADA,Cardano,0.404796,0.4027493887063498,0.5081600000000019,14820329328.0,704276099.0,0.010314498201826413,2.1109768508192526e-05
LINK,Chainlink,12.15,11.952842641761206,1.6494599999999915,8466561822.0,525566076.0,0.005892469374731236,0.0011617436954250086
LTC,Litecoin,82.15,81.56896792765771,0.7123200000000107,6296488830.0,482033395.0,0.004382164611696886,0.0025461781856793153
AVAX,Avalanche,13.23,13.28820766485513,-0.4380399999999951,5677978784.0,374253978.0,0.003951700442103463,-0.00023001925494182902
SUI,Sui,1.35,1.3704641823095003,-1.493230000000001,4966341696.0,600620088.0,0.003456422685308868,-7.073286397085292e-05
DOT,Polkadot,2.31,2.3226834776664935,-0.5460699999999985,3787503189.0,165448640.0,0.0026359869587070962,-3.34334817199295e-05
NEAR,NEAR Protocol,1.84,1.8571832162719126,-0.9252299999999991,2357105983.0,251275580.0,0.00164047403300509,-2.818862009758307e-05
ICP,Internet Computer,4.02,4.310316173485722,-6.735380000000002,2172535377.0,147289925.0,0.0015120185080593485,-0.00043896342749938106
APT,Aptos,2.33,2.3415282803354036,-0.4923400000000133,1715327926.0,350377026.0,0.0011938160358449512,-1.376264593012076e-05
ATOM,Cosmos Hub,2.51,2.475138662001178,1.4084599999999892,1205296756.0,50343020.0,0.000838849862731553,2.9243428594949795e-05
FIL,Filecoin,1.62,1.6542759356768502,-2.071959999999995,1164848058.0,143259783.0,0.0008106987998534164,-2.7787459917075236e-05
ARB,Arbitrum,0.200354,0.19762795945289863,1.3793799999999967,1126206275.0,132267591.0,0.0007838052948274621,2.136685014732411e-06
OP,Optimism,0.301834,0.3013450977134697,0.16224000000000238,574121428.0,92676405.0,0.00039957104229445314,1.9535119620905843e-07
