symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,110528.0,112889.15571417088,-2.091569999999998,2207737722992.0,64259088163.0,0.49098779667626763,-1159.2986417103377
ETH,Ethereum,3918.07,3979.409816738147,-1.5414299999999992,473393677617.0,32779105048.0,0.2417883389572363,-14.831252401057835
XRP,XRP,2.58,2.6147418129950846,-1.328689999999999,154692426883.0,4610823934.0,0.07900997988309662,-0.002744949945843931
BNB,BNB,1110.55,1101.690535222898,0.804169999999993,153174460863.0,3122050058.0,0.07823467066389266,0.6931173090949281
SOL,Solana,194.97,194.0527321404453,0.47269000000000894,107250729007.0,8111669034.0,0.054778880337171564,0.050246906315680316
DOGE,Dogecoin,0.193967,0.19337793214310567,0.3046199999999999,29417915321.0,2391556511.0,0.015025356732381066,8.850954689416536e-06
ADA,Cardano,0.64552,0.6457546026471417,-0.03632999999999553,23615128611.0,1350816968.0,0.012061552553591075,-2.8296721577112187e-06
LINK,Chainlink,18.26,17.80576947886335,2.5510300000000097,12731681813.0,986884866.0,0.006502774209392563,0.002953758517966358
SUI,Sui,2.53,2.50229484174172,1.1071899999999912,9188598164.0,968601581.0,0.004693125389005593,0.0001300237816283514
AVAX,Avalanche,19.83,19.494957707345783,1.7186099999999982,8469398000.0,470082646.0,0.004325790079614281,0.0014493226258148284
LTC,Litecoin,99.19,96.86048594102125,2.405020000000002,7592422363.0,889647571.0,0.0038778701081360225,0.009033552935796291
DOT,Polkadot,3.11,3.0445718465602356,2.1490100000000067,4742834446.0,317114194.0,0.0024224279217672485,0.00015849498576215682
NEAR,NEAR Protocol,2.3,2.2352955697316483,2.8946700000000103,2942282987.0,187398595.0,0.0015027866864424687,9.72369563611237e-05
APT,Aptos,3.44,3.35828159073989,2.433339999999995,2475169501.0,335910094.0,0.0012642059887597239,0.00010330890237854883
ARB,Arbitrum,0.321155,0.31455676297285257,2.097630000000006,1770003867.0,186485605.0,0.0009040388902195308,5.965062879427804e-06
ICP,Internet Computer,3.1,3.0761020706235325,0.7768900000000079,1678369954.0,50955634.0,0.0008572363817281791,2.048617450947866e-05
ATOM,Cosmos Hub,3.12,3.1003564515585698,0.6335900000000061,1484536182.0,168281338.0,0.0007582347516227316,1.4894421073477035e-05
FIL,Filecoin,1.6,1.5591394758426445,2.6207099999999928,1123516183.0,246017484.0,0.0005738418667663867,2.3447479459509998e-05
OP,Optimism,0.444983,0.43533084451540444,2.217200000000008,844028259.0,112864705.0,0.0004310919229083711,4.160966268064889e-06
