symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,122258.0,122399.45705251559,-0.11556999999999817,2436612193299.0,35359027219.0,0.4851560560757027,-68.62874570255568
ETH,Ethereum,4484.7,4521.190072959851,-0.8070899999999881,541280048027.0,20720598153.0,0.24257802803785136,-8.851689941558027
XRP,XRP,2.96,3.0442724636196585,-2.768230000000005,177489700507.0,3832053655.0,0.08016059517705616,-0.006755330840788643
BNB,BNB,1146.5,1179.9357205187682,-2.83369,159573881861.0,2293573789.0,0.07206918096177937,-2.409684992654587
SOL,Solana,227.27,233.0593336843187,-2.484059999999999,123977730910.0,4595819683.0,0.05599270645033605,-0.32416046152909817
DOGE,Dogecoin,0.250426,0.25893916895153657,-3.2877100000000103,37849060769.0,1910918066.0,0.017093967872327042,-0.00014552383654925852
ADA,Cardano,0.839791,0.86894344429571,-3.3549300000000004,30684481595.0,843475147.0,0.013858191772979065,-0.0004040001637010397
LINK,Chainlink,22.04,22.601500374555265,-2.484350000000013,14945414619.0,638428387.0,0.006749875218701306,-0.0037900574635020886
SUI,Sui,3.6,3.5826916583294444,0.4831100000000088,13065550740.0,843286180.0,0.005900862532545208,0.00010213414486427323
AVAX,Avalanche,30.13,31.442747275866328,-4.1750399999999965,12728294793.0,662151247.0,0.005748545877768638,-0.007546387941233393
LTC,Litecoin,120.25,120.70241679864468,-0.37481999999999793,9182351033.0,506048728.0,0.004147072882693309,-0.001876205437334259
DOT,Polkadot,4.2,4.337461977498487,-3.1691800000000048,6388818076.0,203824354.0,0.0028854150859863384,-0.000396634863623648
NEAR,NEAR Protocol,2.95,3.042501476644573,-3.0403100000000016,3684693385.0,203188553.0,0.0016641372087667294,-0.00015393514915009994
APT,Aptos,5.2,5.407240607129135,-3.832650000000004,3661923646.0,817080360.0,0.001653853593294663,-0.0003427456227770876
ICP,Internet Computer,4.49,4.663287289343267,-3.7159900000000023,2420220125.0,48502512.0,0.0010930565837077282,-0.0001894128124895239
ARB,Arbitrum,0.434813,0.45181577648215404,-3.7632099999999946,2349044445.0,169719951.0,0.0010609111417207626,-1.803843501010497e-05
ATOM,Cosmos Hub,4.14,4.300129066192697,-3.72382,1950121065.0,87485960.0,0.0008807433039279336,-0.0001410326028134508
FIL,Filecoin,2.31,2.397442147178247,-3.6473100000000147,1604177250.0,142865743.0,0.0007245029022088056,-6.33520894060096e-05
OP,Optimism,0.724893,0.7453816788987289,-2.748750000000011,1289309003.0,116250591.0,0.0005822973206467313,-1.1930502826321033e-05
