symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,123363.0,121747.56804389595,1.3268700000000022,2456341355447.0,63449294690.0,0.482924071453949,780.1309773985831
ETH,Ethereum,4524.75,4481.405842689507,0.9671999999999903,545935696831.0,38339184711.0,0.2414620357269745,10.465968461061827
BNB,BNB,1297.94,1310.5741973775591,-0.9640199999999988,180457762032.0,6522288877.0,0.08019068640610806,-1.0131449598967126
XRP,XRP,2.89,2.858566346879806,1.0996299999999959,173099316264.0,4521640404.0,0.07692078651167512,0.002417901320940508
SOL,Solana,228.33,221.10116378054425,3.2694699999999965,124685582972.0,7451925510.0,0.05540699591352239,0.40052809887090784
DOGE,Dogecoin,0.255809,0.24920154561869318,2.6514499999999996,38679874115.0,2909824624.0,0.017188319418666376,0.00011357103645016845
ADA,Cardano,0.838325,0.8221537294342657,1.9669399999999948,30596423419.0,1074434141.0,0.013596246389814198,0.0002198685790480737
LINK,Chainlink,22.57,21.939314902364703,2.874679999999996,15298011051.0,802376653.0,0.006798034027543684,0.004287418754389459
SUI,Sui,3.53,3.4553959286626172,2.1590599999999904,12782699591.0,1051245754.0,0.005680295725620255,0.0004237731875316027
AVAX,Avalanche,28.83,28.07220486575147,2.6994500000000032,12172758008.0,732406031.0,0.005409253717464769,0.004099106147010567
LTC,Litecoin,118.14,117.25596041206924,0.7539399999999974,9021398256.0,557182316.0,0.00400887227207895,0.003544001791475716
DOT,Polkadot,4.2,4.1676465597566095,0.7762999999999964,6388675468.0,277101961.0,0.0028389594619595082,9.185010530591558e-05
NEAR,NEAR Protocol,2.96,2.9484142063760457,0.3929499999999919,3706039743.0,282393742.0,0.0016468666545182281,1.9080257185420215e-05
APT,Aptos,5.17,5.358585781111825,-3.5193200000000036,3642579107.0,444458977.0,0.0016186664158401832,-0.00030525747039069874
ICP,Internet Computer,4.5,4.444238582923912,1.2546900000000027,2423862600.0,62845620.0,0.0010771008321250628,6.0060668733126896e-05
ARB,Arbitrum,0.434177,0.42359487979151234,2.4981700000000107,2345624233.0,204527593.0,0.0010423337581994176,1.1030101126630932e-05
ATOM,Cosmos Hub,4.17,4.0758921341048655,2.308890000000008,1967667096.0,96697418.0,0.0008743795405097242,8.228599253973839e-05
FIL,Filecoin,2.37,2.2974758108271987,3.1566900000000064,1660447258.0,211815658.0,0.0007378591192799373,5.351263434953485e-05
OP,Optimism,0.731358,0.7155482476866623,2.2094599999999964,1301239548.0,156639946.0,0.0005782366541506274,9.141778280614534e-06
