symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,92285.0,92801.97194511465,-0.557070000000004,1841969961914.0,52096315383.0,0.4976551316271744,-257.2737413935885
ETH,Ethereum,3337.35,3324.323306690403,0.39185999999999943,402908647116.0,32701671106.0,0.2488275658135872,3.241400386827112
BNB,BNB,898.84,901.0930931701627,-0.2500399999999958,123810196346.0,1841959153.0,0.0775073408532311,-0.1746312603138819
XRP,XRP,2.05,2.1098744387991295,-2.837820000000013,123651116812.0,3809083002.0,0.07740775429228217,-0.004634745846951316
SOL,Solana,137.23,138.17801170268982,-0.6860800000000111,77097180288.0,6596987316.0,0.04826417861987409,-0.04575500615235271
DOGE,Dogecoin,0.144381,0.14833567355775173,-2.666029999999997,21966886036.0,1410760087.0,0.013751653528747038,-5.438330058549912e-05
ADA,Cardano,0.455627,0.4682235238165314,-2.6902800000000004,16695677755.0,1037249314.0,0.010451785270707233,-0.00013165616208773542
LINK,Chainlink,14.19,14.47682794437919,-1.9812900000000022,9904506712.0,814416561.0,0.006200393831577191,-0.0017784462170526989
LTC,Litecoin,85.1,86.08763174644795,-1.147240000000016,6524365269.0,509090082.0,0.004084366374334591,-0.004033849895417394
AVAX,Avalanche,14.22,14.614959037517588,-2.70243,6107041971.0,441798540.0,0.0038231147160811183,-0.0015099737085827226
SUI,Sui,1.62,1.651003366721989,-1.8778500000000031,6070261966.0,999521324.0,0.0038000897918967487,-0.00011781557739466135
DOT,Polkadot,2.21,2.291964548597582,-3.5761700000000007,3628513282.0,198810391.0,0.0022715125574351482,-0.0001861835014039114
NEAR,NEAR Protocol,1.77,1.8136528094711615,-2.4069000000000007,2272979886.0,202964202.0,0.0014229250253703525,-6.211467502423958e-05
ICP,Internet Computer,3.48,3.7408080123807848,-6.971970000000005,1891363624.0,101314574.0,0.0011840265940060157,-0.00030880362258869936
APT,Aptos,1.8,1.8991352393195273,-5.220020000000003,1324860267.0,237191035.0,0.0008293856186957684,-8.22213417975792e-05
ARB,Arbitrum,0.218183,0.22287482713597015,-2.1051399999999942,1226513524.0,136000366.0,0.0007678188434505049,-3.602473285210304e-06
ATOM,Cosmos Hub,2.28,2.3224163805324056,-1.82639,1101904796.0,59618160.0,0.0006898116078639216,-2.92593116548268e-05
FIL,Filecoin,1.48,1.544885016191543,-4.199989999999998,1075007820.0,152713308.0,0.0006729736320890731,-4.366590501458106e-05
OP,Optimism,0.326861,0.3398338867599518,-3.8174200000000047,620064847.0,80311723.0,0.00038817140159626507,-5.035703636360114e-06
