symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,91047.0,91360.40272550959,-0.34303999999999446,1817316285497.0,62950853218.0,0.5001600162024897,-156.75151226877907
ETH,Ethereum,3038.7,3014.57645483547,0.8002300000000018,366731400875.0,20188884543.0,0.23557131870243606,5.682815346186056
XRP,XRP,2.18,2.2003819176651405,-0.9262899999999963,131771158508.0,4143657400.0,0.08464370790887837,-0.0017252010854709441
BNB,BNB,888.75,894.3012858014841,-0.6207399999999974,122389549295.0,1553755108.0,0.07861739533083267,-0.43642763044971705
SOL,Solana,137.83,140.9895187186781,-2.240960000000003,77136014295.0,5374259685.0,0.049548613954431144,-0.15654977327358013
DOGE,Dogecoin,0.150556,0.1529033104608711,-1.535160000000002,22882222750.0,1276329966.0,0.014698483345574472,-3.450190371600675e-05
ADA,Cardano,0.420135,0.4334958626829229,-3.0821199999999993,15392322476.0,758321530.0,0.009887317243391383,-0.00013210308799144817
LINK,Chainlink,13.18,13.356121836205306,-1.3186600000000048,9189116395.0,475328284.0,0.005902664079801986,-0.0010395880362378293
LTC,Litecoin,84.8,86.72675630886016,-2.2216400000000025,6493102894.0,579225039.0,0.004170869490751741,-0.008036249104738293
AVAX,Avalanche,14.86,15.023901753792826,-1.0909399999999958,6374312182.0,407860420.0,0.004094563822328819,-0.0006711061914963524
SUI,Sui,1.53,1.550636962138006,-1.3308699999999951,5631405701.0,655553396.0,0.0036173550014201145,-7.465121820403366e-05
DOT,Polkadot,2.29,2.339247475323748,-2.1052699999999924,3763199826.0,148107304.0,0.00241730580865575,-0.00011904620816172718
NEAR,NEAR Protocol,1.88,1.9088075323982003,-1.5091900000000047,2409208714.0,155592913.0,0.0015475644366210834,-4.458151264626468e-05
ICP,Internet Computer,4.05,4.023673906365432,0.6542800000000071,2193259083.0,101582536.0,0.0014088483647859533,3.708947396826264e-05
APT,Aptos,2.15,2.273796389676668,-5.444479999999996,1580774943.0,300520226.0,0.0010154168336984192,-0.0001257049380287782
ARB,Arbitrum,0.217276,0.2213064102121425,-1.8211899999999948,1220722390.0,103868176.0,0.00078413569848606,-3.1603885268837166e-06
ATOM,Cosmos Hub,2.45,2.520626959144444,-2.8019600000000033,1178220576.0,42576701.0,0.0007568344956238642,-5.3452919001532326e-05
FIL,Filecoin,1.62,1.624685919127949,-0.28842000000000034,1169014538.0,143958157.0,0.0007509209618863375,-3.5187548988809847e-06
OP,Optimism,0.333435,0.3335927226392638,-0.047279999999993993,633090831.0,70878949.0,0.0004066683179058469,-6.41408004050946e-08
