symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,87453.0,87569.8970555795,-0.13349000000000277,1747697548890.0,21804876169.0,0.5081088529159586,-59.39642881975023
ETH,Ethereum,2920.52,2946.101886511142,-0.8683299999999838,352341531532.0,11198543196.0,0.24228781741797262,-6.198179448218839
BNB,BNB,836.95,846.7687065366457,-1.159549999999998,115290144153.0,658634421.0,0.07927932104733122,-0.7784203877882612
XRP,XRP,1.84,1.8586851762079006,-1.0052900000000031,111747223967.0,1349971753.0,0.07684303033979067,-0.0014358255622480374
SOL,Solana,121.75,122.72774741813078,-0.7966800000000052,68495705711.0,2229333149.0,0.047101103770148985,-0.046052982602372894
DOGE,Dogecoin,0.124119,0.12851451779487935,-3.4202500000000025,18950782317.0,684090103.0,0.013031514241266876,-5.728025274171233e-05
ADA,Cardano,0.344794,0.35592884230993993,-3.128390000000003,12675700627.0,496044628.0,0.008716451409533964,-9.705631194741442e-05
LINK,Chainlink,12.15,12.274471735528474,-1.0140700000000002,8605071243.0,240551541.0,0.005917281227470845,-0.0007365342639933519
LTC,Litecoin,76.1,75.68543304052054,0.5477500000000024,5834859577.0,307843889.0,0.004012343891748367,0.0016633852075880972
AVAX,Avalanche,12.29,12.09886932177617,1.5797400000000072,5280167948.0,262174026.0,0.0036309099360461454,0.0006939782786461373
SUI,Sui,1.37,1.4160839016274422,-3.2543199999999994,5124357651.0,352764841.0,0.0035237669131182696,-0.0001623889277821778
DOT,Polkadot,1.71,1.736070395522522,-1.50169,2816917363.0,97411060.0,0.0019370545299059504,-5.049977774334125e-05
NEAR,NEAR Protocol,1.46,1.4544498194888305,0.38160000000000416,1874528761.0,113710184.0,0.001289020571078087,7.154296852094193e-06
ICP,Internet Computer,3.02,3.0146911289219687,0.17609999999999015,1652185428.0,56710839.0,0.0011361260751162482,6.031546861181925e-06
APT,Aptos,1.61,1.6325651522782754,-1.3821900000000054,1211020935.0,185464943.0,0.0008327591070880448,-1.8791336062562273e-05
ARB,Arbitrum,0.186636,0.1875782995879802,-0.5023499999999848,1067401401.0,79268726.0,0.0007339990679857966,-6.916470193408669e-07
ATOM,Cosmos Hub,1.98,1.9800063360202753,-0.0003199999999980996,959196559.0,28885784.0,0.0006595919582470018,-4.179188020899366e-09
FIL,Filecoin,1.23,1.2751178784277735,-3.5383300000000006,895684386.0,78261899.0,0.0006159177830547277,-2.778890365736697e-05
OP,Optimism,0.256735,0.2636015298920038,-2.604890000000004,499000314.0,57627382.0,0.0003431377971374987,-2.3561659411209754e-06
