symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,97127.0,95328.67226211139,1.8864500000000062,1941418200916.0,69307267765.0,0.4997951501654072,898.7954818046561
ETH,Ethereum,3358.86,3324.093966028105,1.0458800000000101,405667871677.0,34688479886.0,0.24359464595636623,8.468819736690767
BNB,BNB,948.61,944.3075459591013,0.4556199999999899,130756506617.0,2214497352.0,0.07851640999862117,0.3378132454754297
XRP,XRP,2.14,2.176099975320586,-1.6589299999999918,129993796251.0,4783602262.0,0.07805841917769427,-0.002817907005878699
SOL,Solana,146.65,146.22980864485902,0.28734999999999733,82905818323.0,7059705256.0,0.04978312277634339,0.02091843782254181
DOGE,Dogecoin,0.147331,0.1497070910665722,-1.5871600000000097,24836140549.0,1798464206.0,0.01491355684379483,-3.543596918735784e-05
ADA,Cardano,0.414058,0.4239484198717131,-2.3329299999999886,15232769202.0,795474099.0,0.009146943299593348,-9.046710977573131e-05
LINK,Chainlink,14.13,14.068423915364841,0.4376900000000017,10012732724.0,647663863.0,0.006012426058971996,0.00037022165586990017
SUI,Sui,1.86,1.8922636631355603,-1.7050299999999963,7062359701.0,1323650999.0,0.0042407918671739896,-0.00013682348023052484
AVAX,Avalanche,14.62,14.765743797579628,-0.9870399999999946,6299231963.0,480611757.0,0.003782550423529164,-0.0005512832632615725
LTC,Litecoin,76.71,78.20732618419206,-1.9145599999999874,5903347068.0,1229382189.0,0.0035448302401724155,-0.0053077671371259925
DOT,Polkadot,2.23,2.3060250332977605,-3.2967999999999997,3684500221.0,205537784.0,0.0022124614482047847,-0.0001682024552697803
ICP,Internet Computer,4.57,3.602594845798299,26.853009999999998,2498092238.0,531923488.0,0.0015000495153002222,0.001451155632659199
NEAR,NEAR Protocol,1.8,1.8594207656392265,-3.19566,2315506762.0,244586894.0,0.0013904109476731367,-8.261928306390027e-05
APT,Aptos,1.94,1.9813607066145071,-2.087490000000003,1479250342.0,120878481.0,0.0008882573368472986,-3.6738951107524606e-05
ATOM,Cosmos Hub,2.58,2.6439473026459868,-2.4186299999999994,1262088505.0,63254285.0,0.0007578564239513209,-4.8462874104620314e-05
ARB,Arbitrum,0.217941,0.2222524304477702,-1.939880000000005,1248226482.0,134976434.0,0.0007495325836359295,-3.231557602683822e-06
FIL,Filecoin,1.59,1.5882521285325502,0.11004999999999487,1168231462.0,235862798.0,0.0007014973313133404,1.2261271698948539e-06
OP,Optimism,0.351782,0.3677493071679241,-4.341899999999999,684600572.0,113507522.0,0.00041108760540604775,-6.5639620684447425e-06
