symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,110995.0,110037.17044613458,0.8704599999999951,2212504091374.0,49192375024.0,0.49196885242288096,471.2223064318908
ETH,Ethereum,3929.96,3852.7006382901754,2.005330000000005,474212434155.0,30330039874.0,0.24259592186059675,18.742806076356185
BNB,BNB,1107.97,1123.3639049348847,-1.3703399999999921,154196512118.0,2331365296.0,0.07888330695421616,-1.2143221282025274
XRP,XRP,2.51,2.3986762365247674,4.641049999999991,150354214164.0,3951785207.0,0.07691767774022334,0.008562765363816774
SOL,Solana,193.32,190.85101764009536,1.2936700000000023,106215091759.0,5860418474.0,0.05433714142628369,0.13415744366913748
DOGE,Dogecoin,0.197529,0.1946727996185565,1.4671799999999902,29910012109.0,1412361511.0,0.015301258334514211,4.370345989160531e-05
ADA,Cardano,0.656491,0.6403906817147371,2.514140000000009,24023360676.0,783875074.0,0.012289785989624455,0.00019786946609071874
LINK,Chainlink,17.91,17.361375331123885,3.1600300000000026,12484306553.0,659367153.0,0.006386677444280992,0.0035038887980872154
SUI,Sui,2.52,2.42814216772392,3.78305000000001,9121803506.0,861709501.0,0.004666500013886152,0.00042865457559187976
AVAX,Avalanche,19.49,19.013174305543565,2.50786999999999,8314265799.0,420408664.0,0.004253382726449474,0.002028122172328269
LTC,Litecoin,96.45,93.85575193199804,2.764079999999991,7373919503.0,519736092.0,0.003772323690212239,0.009786343445211126
DOT,Polkadot,3.08,2.988776561781311,3.052199999999994,4687243377.0,176199871.0,0.0023978834086341556,0.00021874316898315768
NEAR,NEAR Protocol,2.27,2.1950037460107983,3.416679999999994,2894339736.0,148368078.0,0.0014806760975887262,0.00011104516069050416
APT,Aptos,3.3,3.2323897204129817,2.0916500000000005,2371151835.0,307432138.0,0.001213025479410461,8.201299180911799e-05
ARB,Arbitrum,0.319369,0.3133443900807946,1.9226799999999988,1759597087.0,125604522.0,0.0009001684618089528,5.4231638439700774e-06
ICP,Internet Computer,3.14,3.0248039705465017,3.808379999999989,1691742677.0,47486393.0,0.0008654557424438665,9.969706519726296e-05
ATOM,Cosmos Hub,3.18,3.171368802666662,0.27216000000001017,1511414501.0,74639880.0,0.0007732040911936994,6.67367709003705e-06
FIL,Filecoin,1.57,1.5503767267320796,1.2657099999999977,1098950111.0,73351497.0,0.0005621970156305719,1.1032145668128063e-05
OP,Optimism,0.447835,0.43230425353946783,3.5925500000000055,849454828.0,81673539.0,0.0004345611001212964,6.749058267593782e-06
