symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,109722.0,112795.41564692266,-2.7247699999999986,2186450160266.0,42604407165.0,0.4880297963830118,-1499.9184123680275
ETH,Ethereum,4346.29,4581.608273330673,-5.136149999999995,525435409163.0,32768018023.0,0.2440148981915059,-57.42116450938514
XRP,XRP,2.86,3.018555992472186,-5.252710000000005,170156467537.0,7021431202.0,0.08525817917806416,-0.013518195215949425
BNB,BNB,859.22,878.2528816746355,-2.167129999999995,119605197564.0,1664884089.0,0.059929084754429915,-1.1406231790002679
SOL,Solana,210.29,214.7581068402433,-2.0805300000000027,113989135235.0,13609996295.0,0.05711511444080113,-0.2551964335142229
DOGE,Dogecoin,0.215865,0.22412708643820617,-3.686339999999999,32575061263.0,2131595966.0,0.016321979705492876,-0.00013485360716942898
ADA,Cardano,0.830788,0.8684660522922796,-4.3384599999999995,30366396621.0,1824378745.0,0.015215311657445014,-0.0005732833082725447
LINK,Chainlink,23.43,24.3383485428102,-3.7321700000000013,15891328026.0,2979900119.0,0.00796246955422655,-0.007232697616752259
SUI,Sui,3.32,3.4997798406567107,-5.136890000000005,11690945630.0,1347038186.0,0.005857836329769871,-0.001053120881959119
AVAX,Avalanche,23.82,24.589747623713684,-3.1303599999999987,10076627068.0,825527226.0,0.005048969859974693,-0.003886432551917532
LTC,Litecoin,110.24,113.74260103038993,-3.0794100000000046,8413688681.0,522929946.0,0.004215742060801573,-0.014766062486021797
DOT,Polkadot,3.82,3.9674597674133834,-3.7167300000000014,5825491971.0,421693256.0,0.0029189066125617155,-0.0004304212901897377
NEAR,NEAR Protocol,2.45,2.530207841599488,-3.170010000000001,3063977174.0,210205473.0,0.0015352288319078276,-0.00012313739096863005
APT,Aptos,4.28,4.43977921849305,-3.5988099999999967,2940285592.0,402323800.0,0.0014732522334650966,-0.00023539509050619323
ICP,Internet Computer,4.92,5.0828305084710745,-3.2035400000000047,2645682575.0,60371762.0,0.0013256391737127685,-0.0002158545007048253
ARB,Arbitrum,0.496479,0.5197959005475834,-4.485780000000005,2632835984.0,576865877.0,0.0013192022925694342,-3.075970865798551e-05
ATOM,Cosmos Hub,4.56,4.650353105594527,-1.9429299999999872,2125723367.0,141207541.0,0.0010651096977390812,-9.623596898957421e-05
FIL,Filecoin,2.28,2.3451445992502737,-2.777850000000004,1565594268.0,204948402.0,0.0007844527954382307,-5.110286298958066e-05
OP,Optimism,0.692753,0.7212492701644909,-3.9509600000000034,1215082524.0,226561449.0,0.000608826247082262,-1.7349277220089267e-05
