symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,109484.0,113405.00057591229,-3.457520000000003,2181542507714.0,73275298142.0,0.4883130183107889,-1914.6756260220702
ETH,Ethereum,3894.24,4154.31507951172,-6.260360000000009,469997981455.0,62634649670.0,0.2404393188284976,-62.53227496206533
XRP,XRP,2.76,2.9371544719773115,-6.031500000000001,164832873399.0,8833865532.0,0.084324412794088,-0.01493844682333353
BNB,BNB,945.59,1016.991553159128,-7.020859999999995,131596959867.0,3140910946.0,0.0673217431538099,-4.806877022561916
SOL,Solana,194.89,211.95855622388584,-8.052780000000004,105891825558.0,11793781423.0,0.054171633520322546,-0.9246315724813647
DOGE,Dogecoin,0.224117,0.24119630318561605,-7.081080000000006,33843916163.0,4082360846.0,0.017313708717490772,-0.00029570608045346834
ADA,Cardano,0.768078,0.8147056405741607,-5.723250000000002,28063170960.0,2117835044.0,0.014356422742288127,-0.0006694061195581172
LINK,Chainlink,20.25,21.64995539574622,-6.466320000000003,13737370469.0,1170253697.0,0.007027698263375042,-0.009838464103488218
AVAX,Avalanche,29.03,32.48411741503411,-10.633249999999993,12261711939.0,1617090869.0,0.006272787932317305,-0.021666946037833024
SUI,Sui,3.14,3.364219150806802,-6.664820000000004,11184368983.0,1869328504.0,0.005721645977019096,-0.001282902602184376
LTC,Litecoin,102.58,105.9826908713858,-3.2106100000000026,7831969386.0,577901037.0,0.0040066414294500224,-0.013633362216905746
DOT,Polkadot,3.83,4.004972439933779,-4.368879999999997,5826258561.0,371165250.0,0.002980569481147162,-0.0005215175145084755
NEAR,NEAR Protocol,2.76,3.0282406481400512,-8.857970000000003,3455240920.0,355085966.0,0.001767615619584728,-0.00047414635945988606
APT,Aptos,3.94,4.240402403425643,-7.084290000000005,2765862684.0,628148362.0,0.0014149467996763996,-0.0004250534193422119
ARB,Arbitrum,0.41111,0.429021116801106,-4.1748800000000035,2219320483.0,519183929.0,0.0011353493552093967,-2.033537491121591e-05
ICP,Internet Computer,4.09,4.303681668136478,-4.965090000000016,2202834284.0,88063176.0,0.0011269154243968437,-0.00024080116773384454
ATOM,Cosmos Hub,4.03,4.158185207013652,-3.0827200000000166,1892876053.0,113769382.0,0.0009683484754575926,-0.0001241279497878856
FIL,Filecoin,2.13,2.2311486791390323,-4.5334800000000115,1470324690.0,186435889.0,0.0007521816707082392,-7.608218246472898e-05
OP,Optimism,0.643517,0.682724213015361,-5.742760000000013,1143607990.0,200503750.0,0.0005850415043724058,-2.2937846884756175e-05
