symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,92748.0,91839.65075028918,0.9890600000000083,1850363988021.0,104817368377.0,0.49764966187205045,452.0396969803221
ETH,Ethereum,3114.38,3015.9613399770647,3.26325999999999,375183991051.0,40972724283.0,0.23449088161325268,23.078278355973122
XRP,XRP,2.21,2.150997912169402,2.74300999999999,133523103361.0,5636963369.0,0.0834522553458372,0.0049238572995765695
BNB,BNB,932.88,904.5085516140865,3.136669999999997,128375758437.0,3083860500.0,0.08023515259629001,2.2763874906215342
SOL,Solana,140.88,130.46577801518285,7.982339999999999,78162823712.0,7758088403.0,0.04885194965346131,0.5087550480822571
DOGE,Dogecoin,0.16152,0.15177023459833272,6.424030000000003,24576156545.0,2402351649.0,0.015360155956438429,0.00014975791710829692
ADA,Cardano,0.474992,0.4628254753175889,2.628750000000002,17461671601.0,1011295361.0,0.010913586042649125,0.0001327804139615083
LINK,Chainlink,13.8,13.24892297296999,4.159409999999997,9617702273.0,836387800.0,0.006011086663830997,0.0033125717679237353
LTC,Litecoin,95.84,90.94086120729877,5.387169999999997,7349021697.0,860435680.0,0.004593155939028862,0.022502508441822375
AVAX,Avalanche,14.57,14.48710478641215,0.5722000000000005,6248908472.0,548741627.0,0.003905582571940334,0.00032375410148597944
SUI,Sui,1.67,1.6097709045379827,3.7414700000000023,6147645752.0,908860463.0,0.0038422931324820064,0.00023141783986931213
DOT,Polkadot,2.75,2.6538038562954593,3.624840000000007,4505342371.0,250776216.0,0.002815849635763707,0.00027087387621230403
NEAR,NEAR Protocol,2.27,2.2112848587870566,2.655249999999998,2911645547.0,517891099.0,0.0018197853521114717,0.00010684895392647101
ICP,Internet Computer,5.13,5.429760804747707,-5.520700000000001,2775047749.0,655114178.0,0.0017344114053454572,-0.0005199085586299553
APT,Aptos,2.92,2.726432303666295,7.099670000000002,2140648186.0,376216203.0,0.0013379101782909407,0.0002589761911131936
FIL,Filecoin,1.99,2.008024023636158,-0.8975999999999984,1428219949.0,607965130.0,0.0008926408454701898,-1.6088979697354925e-05
ATOM,Cosmos Hub,2.76,2.689572469068455,2.6185399999999914,1322296085.0,83537936.0,0.0008264381799895459,5.8204000484223474e-05
ARB,Arbitrum,0.237223,0.22517334388343452,5.351280000000003,1307046231.0,182233819.0,0.0008169069851778587,9.843448250613445e-06
OP,Optimism,0.380026,0.3621714543410236,4.929859999999997,720470923.0,114317587.0,0.00045029603058947896,8.039831038215674e-06
