symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,110920.0,113473.05291207947,-2.2499200000000052,2210709678810.0,69363740478.0,0.4904397409371655,-1252.11860879913
ETH,Ethereum,3981.97,4141.743556118239,-3.8576399999999955,479719497402.0,44968022430.0,0.24417454444375183,-39.012635279329324
BNB,BNB,1160.33,1218.0120034535516,-4.735750000000016,161046890175.0,4677472556.0,0.08197196748417926,-4.728307311516857
XRP,XRP,2.41,2.5103907782617663,-3.999010000000014,144248513084.0,5112331245.0,0.07342168738132142,-0.00737086033750295
SOL,Solana,193.96,202.9169786461161,-4.414110000000004,106001899722.0,9774998644.0,0.05395437482730028,-0.48326818319267184
DOGE,Dogecoin,0.195952,0.20496732376180393,-4.398420000000003,29639929423.0,2757945007.0,0.015086558506378958,-0.00013601020938640366
ADA,Cardano,0.666717,0.7000465670820605,-4.76105,24357269411.0,1411753156.0,0.012397714069438324,-0.00041321044274154954
LINK,Chainlink,18.02,19.11602493612256,-5.7335399999999925,12551480509.0,935329366.0,0.006388633465967872,-0.00700210158644789
SUI,Sui,2.68,2.8363555159970986,-5.512550000000016,9690831477.0,1341499283.0,0.004932579088389124,-0.0007712359485615787
AVAX,Avalanche,21.95,22.761650880243334,-3.5658700000000043,9351137483.0,725509934.0,0.00475967674298847,-0.0038631958181203187
LTC,Litecoin,95.07,97.93726019819238,-2.927650000000004,7258302729.0,724753113.0,0.003694435543867946,-0.010592907989719793
DOT,Polkadot,3.13,3.250826052556198,-3.7167799999999973,4769707874.0,289846634.0,0.0024277546640714682,-0.00029333601263465444
NEAR,NEAR Protocol,2.33,2.470690244050117,-5.694370000000005,2906790724.0,274936378.0,0.001479540241057262,-0.00020815687759631477
APT,Aptos,3.5,3.6899699868384044,-5.148280000000005,2503618638.0,385904693.0,0.0012743279014199762,-0.00024208405466056435
ICP,Internet Computer,3.34,3.5570777860492258,-6.102699999999994,1797035647.0,75947874.0,0.0009146811060041322,-0.00019855694943243432
ARB,Arbitrum,0.326168,0.3436915248229267,-5.098619999999999,1761579150.0,230496497.0,0.0008966339470926584,-1.5712187228956932e-05
ATOM,Cosmos Hub,3.34,3.4867263251804483,-4.208139999999993,1580062741.0,94883099.0,0.0008042431088701718,-0.00011800363591621967
FIL,Filecoin,1.6,1.6788422955356332,-4.696230000000002,1117987417.0,150587381.0,0.0005690493501269222,-4.4865157037066786e-05
OP,Optimism,0.455468,0.48496456315677783,-6.082209999999999,809158567.0,145091313.0,0.00041185719060823884,-1.2148371634349008e-05
