symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,114554.0,111580.61103519522,2.6647899999999947,2283507130829.0,41860806399.0,0.4897521611197278,1456.2236713626899
ETH,Ethereum,4170.36,3955.7877854679746,5.424260000000003,503369850374.0,24928243019.0,0.2448760805598639,52.543602891652576
XRP,XRP,2.65,2.5933257190680585,2.185389999999998,159228902568.0,3315144520.0,0.0781116203201769,0.004426919914074847
BNB,BNB,1138.96,1116.613000694501,2.0013199999999953,158639494802.0,1610284254.0,0.07782247937347035,1.739098892511163
SOL,Solana,200.17,194.26794554635615,3.038099999999999,109978345959.0,4730422286.0,0.053951177609365165,0.31842278808868363
DOGE,Dogecoin,0.205869,0.19679392678392982,4.6114599999999895,31165810652.0,1494705467.0,0.01528875681084289,0.00013874658744109084
ADA,Cardano,0.684039,0.6549642212680035,4.439140000000008,25004388837.0,748177141.0,0.012266198508400269,0.00035663700751448316
LINK,Chainlink,18.64,18.009505231355476,3.500900000000007,12967446439.0,651753033.0,0.006361334132368507,0.0040107878920582
SUI,Sui,2.67,2.5365148893424005,5.262539999999993,9682853076.0,718127207.0,0.0047500380326088495,0.000634059352410598
AVAX,Avalanche,20.83,19.71899625670403,5.63418,8882576766.0,536441369.0,0.004357453029071214,0.0048411466265344694
LTC,Litecoin,100.07,96.76728420639367,3.4130500000000064,7654850397.0,440311214.0,0.0037551773464171642,0.012402283529804657
DOT,Polkadot,3.21,3.0918213139181083,3.8222999999999896,4889464806.0,152369480.0,0.0023985847565082324,0.0002834615949801969
NEAR,NEAR Protocol,2.38,2.281993184894471,4.294789999999993,3039613537.0,149758618.0,0.0014911183503310142,0.0001461397604613533
APT,Aptos,3.58,3.302433136798588,8.404919999999994,2582573995.0,394905886.0,0.0012669122005664292,0.00035165284546282176
ARB,Arbitrum,0.336777,0.320721092727962,5.006189999999999,1854197710.0,135332802.0,0.0009095986041868796,1.460443084359972e-05
ICP,Internet Computer,3.31,3.128774497784431,5.792219999999992,1783601375.0,40146018.0,0.0008749667375685623,0.00015856628643778076
ATOM,Cosmos Hub,3.26,3.1485674742355907,3.539150000000002,1550792028.0,59557203.0,0.0007607593604745313,8.477333703659359e-05
FIL,Filecoin,1.66,1.5622811865205624,6.254880000000007,1163762868.0,87333014.0,0.0005708976311578553,5.57874391349672e-05
OP,Optimism,0.467557,0.4478982529882667,4.389109999999996,886097325.0,84938730.0,0.0004346855168933025,8.54537260626996e-06
