symbol,name,current_price,previous_price,price_change_pct,market_cap,total_volume,weight_ratio,contribution
BTC,Bitcoin,115417.0,115494.43902136383,-0.06705000000000183,2299054824256.0,47117504575.0,0.48471335347228484,-37.53572773487167
ETH,Ethereum,4524.18,4614.007340507946,-1.9468400000000052,545764105546.0,35426944371.0,0.24235667673614242,-21.7702557255515
XRP,XRP,2.99,3.034302023260411,-1.4600399999999847,178602639110.0,5805590758.0,0.0843021202734564,-0.0037347544932566307
BNB,BNB,919.6,928.7418849965869,-0.9843299999999999,128008568131.0,1379738453.0,0.06042124439138978,-0.5523640675767564
SOL,Solana,234.05,241.44462804529195,-3.062659999999995,126942024301.0,10108763069.0,0.059917825703504686,-0.4430700343600499
DOGE,Dogecoin,0.268177,0.27923565335032907,-3.9603299999999897,40449080958.0,5492087922.0,0.019092345470729202,-0.0002111356302055196
ADA,Cardano,0.862788,0.8886291581944633,-2.907979999999999,31502050472.0,1815914069.0,0.014869263192216433,-0.00038423898238517534
LINK,Chainlink,23.62,24.17520287416756,-2.2965800000000036,16014510277.0,929554687.0,0.007558999005947879,-0.004196777973931985
AVAX,Avalanche,29.9,29.818987774015554,0.27167999999999637,12617362250.0,1236495724.0,0.005955513284874599,0.0004824693880876242
SUI,Sui,3.51,3.6975099745862026,-5.0712500000000045,12538165009.0,1311157130.0,0.005918131444553661,-0.0011097086767660645
LTC,Litecoin,113.6,115.27206744714785,-1.4505400000000002,8665441591.0,551667696.0,0.004090169679839808,-0.0068390395749713
DOT,Polkadot,4.15,4.328718050670826,-4.128659999999995,6324052576.0,296535620.0,0.0029850121114350526,-0.0005334755457844781
NEAR,NEAR Protocol,2.62,2.7055955743891626,-3.1636499999999956,3279950817.0,185135395.0,0.0015481675390891462,-0.00013251628975899173
APT,Aptos,4.38,4.536769428637394,-3.4555299999999955,3068833757.0,664858592.0,0.001448518307293993,-0.000227083387405284
ARB,Arbitrum,0.492378,0.5150885638325138,-4.409059999999998,2606955610.0,407872439.0,0.0012305074912494776,-2.7945518926407674e-05
ICP,Internet Computer,4.67,4.865918419699738,-4.026339999999983,2511754494.0,72058289.0,0.0011855716718730553,-0.00023227532839414518
ATOM,Cosmos Hub,4.51,4.651994694869376,-3.052339999999998,2113585681.0,113167192.0,0.0009976322588278088,-0.00014165848818410083
FIL,Filecoin,2.41,2.514864308983116,-4.16977999999999,1662027727.0,173040221.0,0.0007844926706434566,-8.226528180934532e-05
OP,Optimism,0.743727,0.7877143893894054,-5.584180000000016,1322972225.0,194884166.0,0.000624455294648262,-2.746815820196897e-05
